ID,Address,Postal Code,FSA,City,Province,Pat_Geo_Cols,Pat_Geocode
71,100 COUNTRY VILLAGE RD NE SUITE 105,T3K 5Z2,T3K,CALGARY,AB,"Address,Postal Code","(51.16075499999999, -114.0662761)"
72,1230 TALBOT ST,N5P 1G9,N5P,ST THOMAS,ON,"Address,Postal Code","(42.7778342, -81.15123299999999)"
73,2333 DUNDAS ST W SUITE 201,M6R 1X6,M6R,TORONTO,ON,"Address,Postal Code","(43.6559633, -79.45255139999999)"
74,15900 BAYVIEW AVE,L4G 7Y3,L4G,AURORA,ON,"Address,Postal Code","(44.0222968, -79.4494682)"
75,2530 SIXTH LINE UNIT 1,L6H 6W5,L6H,OAKVILLE,ON,"Address,Postal Code","(43.4764685, -79.72675459999999)"
76,60 CHESLEY AVE,N5Z 2C1,N5Z,LONDON,ON,"Address,Postal Code","(42.9809331, -81.2164581)"
77,2927 66 ST NW,T6K 4C1,T6K,EDMONTON,AB,"Address,Postal Code","(53.4611106, -113.4325843)"
78,335 PACKHAM AVE SUITE 104,S7N 4S1,S7N,SASKATOON,SK,"Address,Postal Code","(52.1297988, -106.5867748)"
79,281 STONE RD E,N1G 5J5,N1G,GUELPH,ON,"Address,Postal Code","(43.533038, -80.21518189999999)"
80,140 CENTENNIAL PKY N SUITE 2A,L8E 1H9,L8E,HAMILTON,ON,"Address,Postal Code","(43.233076, -79.7609284)"
81,971 CARRICK ST,P7B 6L9,P7B,THUNDER BAY,ON,"Address,Postal Code","(48.4096947, -89.2499991)"
82,511 HURON ST,N5A 5T8,N5A,STRATFORD,ON,"Address,Postal Code","(43.3790562, -81.002042)"
83,6535 BOWNESS RD NW,T3B 0E8,T3B,CALGARY,AB,"Address,Postal Code","(51.0871067, -114.1836554)"
84,7071 BAYERS RD SUITE 208,B3L 2C2,B3L,HALIFAX,NS,"Address,Postal Code","(44.6558793, -63.6258569)"
85,119 MEMORIAL AVE SUITE 204,L3V 5X1,L3V,ORILLIA,ON,"Address,Postal Code","(44.6008636, -79.4273661)"
86,180 JAMES ST S SUITE 302,L8P 4V1,L8P,HAMILTON,ON,"Address,Postal Code","(43.2512422, -79.8717143)"
87,160 DUNDURN ST S,L8P 4K3,L8P,HAMILTON,ON,"Address,Postal Code","(43.2579465, -79.8901583)"
88,377 CHURCH ST SUITE 101,L6B 1A1,L6B,MARKHAM,ON,"Address,Postal Code","(43.88440809999999, -79.2324543)"
89,2075 BAYVIEW AVE ROOM KG331,M4N 3M5,M4N,TORONTO,ON,"Address,Postal Code","(43.7224914, -79.37561649999999)"
90,13750 96 AVE UNIT N52,V3V 1Z2,V3V,SURREY,BC,"Address,Postal Code","(49.1762238, -122.841842)"
91,2075 BAYVIEW AVE ROOM A103,M4N 3M5,M4N,TORONTO,ON,"Address,Postal Code","(43.7228457, -79.3728749)"
92,1450 HIGHWAY 2  FLOOR 2,L1E 3C3,L1E,COURTICE,ON,"Address,Postal Code","(43.9074265, -78.8076018)"
93,1881 YONGE ST SUITE 503,M4S 3C4,M4S,TORONTO,ON,"Address,Postal Code","(43.6977019, -79.3961245)"
94,4309 HIGHWAY 236,B0N 1P0,B0N,KENNETCOOK,NS,"Address,Postal Code","(45.1793183, -63.7192294)"
95,1261 BEAVERBROOK AVE UNIT 1,N6H 0G6,N6H,LONDON,ON,"Address,Postal Code","(42.9915689, -81.2941621)"
96,210 C GRAN,P6C 0C4,P6C,BATCHEWANA FIRST NATION,ON,"Address,Postal Code","(46.5374119, -84.37728500000001)"
97,240 WHARNCLIFFE RD N SUITE 100,N6H 4P2,N6H,LONDON,ON,"Address,Postal Code","(42.9913217, -81.26506870000001)"
98,2 KENNEDY RD S UNIT 4A,L6W 3E1,L6W,BRAMPTON,ON,"Address,Postal Code","(43.695659, -79.74829299999999)"
99,180 CAMBRIA RD N,N7A 4N8,N7A,GODERICH,ON,"Address,Postal Code","(43.7496263, -81.70373)"
100,290 SOUTH ST,N7A 4G6,N7A,GODERICH,ON,"Address,Postal Code","(43.7331166, -81.7117694)"
101,2200 DIXIE RD,L4Y 1Z4,L4Y,MISSISSAUGA,ON,"Address,Postal Code","(43.6014735, -79.5734039)"
102,1600 90 AVE SW SUITE A301,T2V 5A8,T2V,CALGARY,AB,"Address,Postal Code","(50.9733867, -114.0975211)"
103,12100 MACLEOD TRAIL SE SUITE 234,T2J 7G9,T2J,CALGARY,AB,"Address,Postal Code","(50.9449862, -114.0693505)"
104,2075 BAYVIEW AVE ROOM A112,M4N 3M5,M4N,TORONTO,ON,"Address,Postal Code","(43.7228457, -79.3728749)"
105,1015 CAWTHRA RD,L5G 4K3,L5G,MISSISSAUGA,ON,"Address,Postal Code","(43.5703215, -79.56659979999999)"
106,100 MARIE CURIE PVT SUITE 300,K1N 1A2,K1N,OTTAWA,ON,"Address,Postal Code","(45.4217225, -75.68038349999999)"
107,15 MOUNTAIN AVE S UNIT 310,L8G 2V6,L8G,STONEY CREEK,ON,"Address,Postal Code","(43.2157096, -79.75632879999999)"
108,2401 YONGE ST SUITE 202,M4P 3H1,M4P,TORONTO,ON,"Address,Postal Code","(43.7100974, -79.39884359999999)"
109,348 MUSKOKA RD 3  N SUITE 102,P1H 1H8,P1H,HUNTSVILLE,ON,"Address,Postal Code","(45.3383638, -79.20324959999999)"
110,1108 KLONDIKE RD UNIT A,K2K 0G1,K2K,KANATA,ON,"Address,Postal Code","(45.3542789, -75.9337181)"
111,439 UNIVERSITY AVE SUITE 510,M5G 1Y8,M5G,TORONTO,ON,"Address,Postal Code","(43.6544569, -79.3874955)"
112,137 COLLIER ST,L4M 1H5,L4M,BARRIE,ON,"Address,Postal Code","(44.390254, -79.6816262)"
113,249 MARLEE AVE,M6B 4B8,M6B,NORTH YORK,ON,"Address,Postal Code","(43.70585029999999, -79.4420342)"
114,95 BAYLY ST W SUITE 205,L1S 7K8,L1S,AJAX,ON,"Address,Postal Code","(43.8427678, -79.0239647)"
115,13291 YONGE ST SUITE 100,L4E 4L6,L4E,RICHMOND HILL,ON,"Address,Postal Code","(43.9517144, -79.4557541)"
116,396 ST CLAIR AVE W,M5P 3N3,M5P,TORONTO,ON,"Address,Postal Code","(43.6841477, -79.4153394)"
117,1000 ELLESMERE RD,M1P 5G2,M1P,SCARBOROUGH,ON,"Address,Postal Code","(43.7672988, -79.27794109999999)"
118,82 BUTTONWOOD AVE,M6M 2J5,M6M,YORK,ON,"Address,Postal Code","(43.6896944, -79.5079758)"
119,451 PAXTON ST,L9L 1L9,L9L,PORT PERRY,ON,"Address,Postal Code","(44.104925, -78.95463250000002)"
120,47 LIBERTY ST S,L1C 2N4,L1C,BOWMANVILLE,ON,"Address,Postal Code","(43.9088415, -78.6779968)"
121,99 REGINA ST S,N2J 4V3,N2J,WATERLOO,ON,"Address,Postal Code","(43.462919, -80.52083689999999)"
122,727 JANE ST UNIT 4,M6N 4B3,M6N,YORK,ON,"Address,Postal Code","(43.67063599999999, -79.4930581)"
123,100 THE BOARDWALK,N2N 0B1,N2N,KITCHENER,ON,"Address,Postal Code","(43.4330125, -80.55820489999999)"
124,65 PRESTWICK CLOSE SUITE 100,B3S 0C1,B3S,HALIFAX,NS,"Address,Postal Code","(44.6624084, -63.6729064)"
125,3292 BAYVIEW AVE SUITE 300,M2M 4J5,M2M,NORTH YORK,ON,"Address,Postal Code","(43.7898489, -79.3936722)"
126,1493 CENTRE RD SS 0002,L0R 1H2,L0R,CARLISLE,ON,"Address,Postal Code","(43.3950612, -79.9825311)"
127,1 BRIDGEPOINT DR,M4M 2B5,M4M,TORONTO,ON,"Address,Postal Code","(43.6665335, -79.3544841)"
128,1466 BATHURST ST SUITE 306,M5R 3S3,M5R,TORONTO,ON,"Address,Postal Code","(43.6827366, -79.41833079999999)"
129,51 K HIGHWAY 105,P0V 2M0,P0V,RED LAKE,ON,"Address,Postal Code","(51.0132577, -93.8224341)"
130,465 GRAND AVE W,N7L 1C5,N7L,CHATHAM,ON,"Address,Postal Code","(42.3982719, -82.2113352)"
131,80 MICHAEL COWPLAND DR,K2M 1P6,K2M,KANATA,ON,"Address,Postal Code","(45.287051, -75.8691779)"
132,74 FRONT ST E,N7G 1Y7,N7G,STRATHROY,ON,"Address,Postal Code","(42.9592304, -81.62164039999999)"
133,425 UNIVERSITY AVE E UNIT O,N2K 4C9,N2K,WATERLOO,ON,"Address,Postal Code","(43.48943120000001, -80.4918288)"
134,37 MAPLE ST,R0E 1M0,R0E,PINE FALLS,MB,"Address,Postal Code","(50.5633796, -96.21484989999999)"
135,116 ALBERT ST SUITE 401,K1P 5G3,K1P,OTTAWA,ON,"Address,Postal Code","(45.4213791, -75.6967568)"
136,33 DUNDAS ST,L9H 1A1,L9H,DUNDAS,ON,"Address,Postal Code","(43.2640275, -79.9498073)"
137,30 ROSEMOUNT AVE,K1Y 1P4,K1Y,OTTAWA,ON,"Address,Postal Code","(45.4014056, -75.72625579999999)"
138,235 WELLINGTON ST,K7K 0B5,K7K,KINGSTON,ON,"Address,Postal Code","(44.23290799999999, -76.4819071)"
139,76 STUART ST,K7L 2V7,K7L,KINGSTON,ON,"Address,Postal Code","(44.2237426, -76.4935185)"
140,140 OTTAWA AVE W,P0A 1X0,P0A,SOUTH RIVER,ON,"Address,Postal Code","(45.84007200000001, -79.3841255)"
141,77 WESTMOUNT RD UNIT 110,N1H 5J1,N1H,GUELPH,ON,"Address,Postal Code","(43.549978, -80.268981)"
142,2810 MAJOR MACKENZIE DR UNIT 1,L6A 3L2,L6A,MAPLE,ON,"Address,Postal Code","(43.8511244, -79.5357556)"
143,2300 EGLINTON AVE W SUITE 101,L5M 2V8,L5M,MISSISSAUGA,ON,"Address,Postal Code","(43.5590626, -79.7055427)"
144,2125 FRONT RD,N9J 2C1,N9J,WINDSOR,ON,"Address,Postal Code","(42.2279853, -83.1014726)"
145,1453 PRINCE RD,N9C 3Z4,N9C,WINDSOR,ON,"Address,Postal Code","(42.2854248, -83.06348729999999)"
146,1030 OUELLETTE AVE FLOOR 7,N9A 1E1,N9A,WINDSOR,ON,"Address,Postal Code","(42.3083546, -83.0322776)"
147,39 CAMPUS TRAIL UNITE 2,P1H 0E5,P1H,HUNTSVILLE,ON,"Address,Postal Code","(45.326932, -79.216753)"
148,1010 1 AVE NE SUITE 206A,T2E 7W7,T2E,CALGARY,AB,"Address,Postal Code","(51.05351719999999, -114.0400462)"
149,551 KNIGHT'S HILL RD UNIT 3,N6J 3A1,N6J,LONDON,ON,"Address,Postal Code","(42.9556225, -81.2731116)"
150,4306 RICHMOND RD SW SUITE 111,T3E 4P6,T3E,CALGARY,AB,"Address,Postal Code","(51.0203468, -114.1485599)"
151,115 DOWNEY RD UNIT 2,N1C 1A2,N1C,GUELPH,ON,"Address,Postal Code","(43.4992818, -80.2372504)"
152,345 BLOOR ST E SUITE 1B,M4W 3J6,M4W,TORONTO,ON,"Address,Postal Code","(43.67190009999999, -79.3784143)"
153,2437 PRINCESS ST SUITE 200,K7M 3G1,K7M,KINGSTON,ON,"Address,Postal Code","(44.2575295, -76.55833150000001)"
154,554 JOHN ST N,L8L 4S1,L8L,HAMILTON,ON,"Address,Postal Code","(43.2727539, -79.8584028)"
155,582 GOLDSTREAM AVE,V9B 2W7,V9B,VICTORIA,BC,"Address,Postal Code","(48.44687889999999, -123.4872771)"
156,7550 KING GEORGE HWY,V3W 2T2,V3W,SURREY,BC,"Address,Postal Code","(49.1395887, -122.84292)"
157,330 BRONTE ST S UNIT 120,L9T 7X1,L9T,MILTON,ON,"Address,Postal Code","(43.50108609999999, -79.8791979)"
158,3585 LAWRENCE AVE E SUITE 1A,M1G 1P4,M1G,SCARBOROUGH,ON,"Address,Postal Code","(43.7594364, -79.22409979999999)"
159,287 LACEWOOD DR SUITE 116,B3M 3Y7,B3M,HALIFAX,NS,"Address,Postal Code","(44.6633769, -63.6577891)"
160,1450 NAKINA RD,P7C 4W1,P7C,THUNDER BAY,ON,"Address,Postal Code","(48.4033645, -89.2688903)"
161,955 OLIVER RD ROOM UC-1007,P7B 5E1,P7B,THUNDER BAY,ON,"Address,Postal Code","(48.420957, -89.2621479)"
162,59 ADELAIDE ST E FLOOR 2,M5C 1K6,M5C,TORONTO,ON,"Address,Postal Code","(43.6507854, -79.3753739)"
163,75 UNIVERSITY AVE W,N2L 3C5,N2L,WATERLOO,ON,"Address,Postal Code","(43.4738727, -80.5278702)"
164,385 FREDERICK ST UNIT 20B,N2H 2P2,N2H,KITCHENER,ON,"Address,Postal Code","(43.4570249, -80.4726292)"
165,267 O'CONNOR ST SUITE 500,K2P 1V3,K2P,OTTAWA,ON,"Address,Postal Code","(45.4154121, -75.6933346)"
166,2224 WALKER RD SUITE 121,N8W 5L7,N8W,WINDSOR,ON,"Address,Postal Code","(42.3008057, -82.9928423)"
167,2430 BANK ST UNIT 3,K1V 0T7,K1V,OTTAWA,ON,"Address,Postal Code","(45.3537723, -75.6491647)"
168,4 HENRY ST,A1C 1R5,A1C,ST. JOHN'S,NL,"Address,Postal Code","(47.5648353, -52.7091874)"
169,GORDON ST,N1G 2W1,N1G,GUELPH,ON,"Address,Postal Code","(43.51813370000001, -80.2055111)"
170,43 MAIN ST,A0E 1E0,A0E,BURIN,NL,"Address,Postal Code","(47.107867, -55.19650060000001)"
171,185 INKERMAN ST E,N4W 2N1,N4W,LISTOWEL,ON,"Address,Postal Code","(43.73225619999999, -80.9507948)"
172,644 TOPSAIL RD,A1E 2E2,A1E,ST. JOHN'S,NL,"Address,Postal Code","(47.525322, -52.770718)"
173,2377 111 ST NW SUITE 301,T6J 5E5,T6J,EDMONTON,AB,"Address,Postal Code","(53.45495289999999, -113.5136988)"
174,1745 ALTA VISTA DR,K1A 0K6,K1A,OTTAWA,ON,"Address,Postal Code","(45.4016583, -75.6574543)"
175,131 KING ST SUITE 3,B2A 3S1,B2A,NORTH SYDNEY,NS,"Address,Postal Code","(46.2154369, -60.2633326)"
176,4555 SHORE RD,B1W 1K3,B1W,ESKASONI,NS,"Address,Postal Code","(45.94365579999999, -60.6089786)"
177,1128 HORNBY ST FLOOR 4,V6Z 2L4,V6Z,VANCOUVER,BC,"Address,Postal Code","(49.2789136, -123.1268908)"
178,1221 GREENBANK RD,K2J 5V7,K2J,NEPEAN,ON,"Address,Postal Code","(45.27480070000001, -75.7473606)"
179,34 CIVIC AVE FLOOR 2,L4A 1H2,L4A,STOUFFVILLE,ON,"Address,Postal Code","(43.9705016, -79.24577210000001)"
180,105 MARY ST W,L1N 2R4,L1N,WHITBY,ON,"Address,Postal Code","(43.881269, -78.94391259999999)"
181,1585 MARKHAM RD SUITE 301,M1B 2W1,M1B,SCARBOROUGH,ON,"Address,Postal Code","(43.79224670000001, -79.2376316)"
182,82 SEVENTH AVE,P8T 1K2,P8T,SIOUX LOOKOUT,ON,"Address,Postal Code","(50.1006131, -91.9254426)"
183,800 COMMISSIONERS RD E ROOM E1-102,N6C 6B5,N6C,LONDON,ON,"Address,Postal Code","(42.9604624, -81.2255313)"
184,22262 MILL RD RR 00005,N0L 1W0,N0L,MOUNT BRYDGES,ON,"Address,Postal Code","(42.8981918, -81.4708806)"
185,14 RAMBLEWOOD DR UNIT 101,L9Z 0C4,L9Z,WASAGA BEACH,ON,"Address,Postal Code","(44.46853710000001, -80.07588620000001)"
186,366 LACEWOOD DR SUITE 200,B3S 1M7,B3S,HALIFAX,NS,"Address,Postal Code","(44.6581214, -63.67153649999999)"
187,222 FIRST ST E,V0E 2S0,V0E,REVELSTOKE,BC,"Address,Postal Code","(50.9976057, -118.1930073)"
188,210 MELROSE AVE,K1Y 4K7,K1Y,OTTAWA,ON,"Address,Postal Code","(45.3932356, -75.7194392)"
189,77 GRENVILLE ST FLOOR 3,M5S 1B3,M5S,TORONTO,ON,"Address,Postal Code","(43.66128579999999, -79.3868145)"
190,5959 ANDERSON ST SUITE 1A,L1M 2E9,L1M,WHITBY,ON,"Address,Postal Code","(43.9563191, -78.9465902)"
191,8000 BATHURST ST UNIT 2A,L4J 0B8,L4J,THORNHILL,ON,"Address,Postal Code","(43.8158977, -79.45206879999999)"
192,540 LAKESHORE RD W,L6K 3P1,L6K,OAKVILLE,ON,"Address,Postal Code","(43.4261487, -79.6852904)"
193,960 NOTRE DAME AVE UNIT C,P3A 2T4,P3A,SUDBURY,ON,"Address,Postal Code","(46.5175554, -80.9820022)"
194,2 SERPENTINE ST,P0M 1N0,P0M,COPPER CLIFF,ON,"Address,Postal Code","(46.4779002, -81.06860209999999)"
195,SINCLAIR RD,V8W 2Y2,V8W,VICTORIA,BC,"Address,Postal Code","(48.4629124, -123.3010009)"
196,221 NELSON ST,K1N 1C7,K1N,OTTAWA,ON,"Address,Postal Code","(45.4293804, -75.6836)"
197,1615 BOUL JACQUES-CARTIER E,J4M 2X1,J4M,LONGUEUIL,QC,"Address,Postal Code","(45.5408222, -73.4565803)"
198,233 RUE TURGEON BUREAU 101,J7E 3J8,J7E,SAINTE-THERESE,QC,"Address,Postal Code","(45.6316378, -73.82963509999999)"
199,3066 SHELBOURNE ST SUITE 347,V8R 6T9,V8R,VICTORIA,BC,"Address,Postal Code","(48.4447209, -123.3339349)"
200,4920 TAIT AVE,V0J 1A0,V0J,AIYANSH,BC,"Address,Postal Code","(55.1997668, -129.0776418)"
201,629 MARKHAM RD UNIT 2,M1H 2A4,M1H,SCARBOROUGH,ON,"Address,Postal Code","(43.7609483, -79.2240557)"
202,4256 BATHURST ST SUITE 306,M3H 5Y8,M3H,NORTH YORK,ON,"Address,Postal Code","(43.7511577, -79.43781229999999)"
203,2 BLOOMFIELD TRAIL UNIT 6-7,L4E 2H8,L4E,RICHMOND HILL,ON,"Address,Postal Code","(43.95981769999999, -79.4714834)"
204,460 SPRINGBANK DR SUITE 314,N6J 0A8,N6J,LONDON,ON,"Address,Postal Code","(42.9667188, -81.2855687)"
205,5357 FERNBANK RD FLOOR 5 RR 0001,K2S 1B6,K2S,STITTSVILLE,ON,"Address,Postal Code","(45.27523009999999, -75.8717233)"
206,170 REBECCA ST UNIT A,L6K 1J6,L6K,OAKVILLE,ON,"Address,Postal Code","(43.43871850000001, -79.6780563)"
207,110 COPPER CREEK DR UNIT 100,L6B 0P9,L6B,MARKHAM,ON,"Address,Postal Code","(43.8690086, -79.22917389999999)"
208,2201 BROADWAY  W,V6K 2E4,V6K,VANCOUVER,BC,"Address,Postal Code","(49.2640841, -123.1556723)"
